type;front;back;examples
vocab;the economy (la economía);the economic system / the national economy;The national economy depends heavily on international trade.|A stable economic system is essential for long-term growth.
vocab;jobs (empleos);employment opportunities / the labour market;Employment opportunities vary widely across regions.|The labour market has become increasingly competitive.
vocab;workers (trabajadores);employees / the workforce;Employees often face unpredictable contract conditions.|The workforce is undergoing rapid technological transformation.
vocab;companies (empresas);corporations / business enterprises;Corporations play a crucial role in shaping economic performance.|Business enterprises drive innovation in many sectors.
vocab;money (dinero);financial resources / economic capital;Many families struggle to access adequate financial resources.|Small firms often lack sufficient economic capital.
vocab;prices (precios);consumer prices / market costs;Consumer prices have risen due to inflation.|Market costs fluctuate depending on global conditions.
vocab;cost of living (costo de vida);living expenses / household expenditure levels;Living expenses have increased dramatically.|Household expenditure levels vary based on income.
vocab;inflation (inflación);rising price levels / economic inflationary pressure;Economic inflationary pressure affects purchasing power.|Rising price levels create financial instability.
vocab;salary (salario);wage level / employee remuneration;Employee remuneration differs between industries.|The wage level in tech sectors is notably high.
vocab;income (ingreso);earnings / household income;Household income is strongly linked to education levels.|Many people rely on multiple jobs to supplement their earnings.
vocab;poverty (pobreza);economic hardship / financial deprivation;Economic hardship limits access to basic services.|Financial deprivation remains a widespread concern.
vocab;rich and poor (ricos y pobres);high-income and low-income groups / socioeconomic extremes;Societies often struggle with socioeconomic extremes.|Policies aim to support both high-income and low-income groups.
vocab;government spending (gasto público);public expenditure / state investment;Public expenditure must be carefully managed.|State investment drives large-scale infrastructure development.
vocab;taxes (impuestos);taxation / fiscal charges;Taxation is used to support essential services.|Fiscal charges have increased over the past decade.
vocab;trade (comercio);international trade / global economic exchange;International trade supports economic interdependence.|Global economic exchange has expanded significantly.
vocab;investment (inversión);capital investment / financial injection;Capital investment strengthens national industries.|A financial injection can help revive struggling sectors.
vocab;unemployment (desempleo);joblessness / lack of employment opportunities;High joblessness leads to social instability.|A lack of employment opportunities harms local communities.
vocab;budget (presupuesto);fiscal plan / financial allocation;A strong fiscal plan prevents overspending.|Governments determine financial allocation annually.
vocab;debt (deuda);financial liabilities / public debt;Rising public debt concerns many economists.|Companies seek to reduce financial liabilities.
vocab;business growth (crecimiento empresarial);corporate expansion / business development;Corporate expansion creates new jobs.|Business development increases competition.

collocation;create jobs (crear empleos);generate employment opportunities / boost the labour market;Investment in infrastructure can generate employment opportunities.|New industries help boost the labour market.
collocation;boost the economy (impulsar la economía);stimulate economic growth / revitalise economic activity;Lower taxes can stimulate economic growth.|Government support may revitalise economic activity.
collocation;reduce unemployment (reducir el desempleo);lower joblessness rates / expand employment prospects;New policies can lower joblessness rates.|Training programmes expand employment prospects.
collocation;raise salaries (aumentar salarios);increase wage levels / improve employee compensation;New agreements aim to increase wage levels.|Companies must improve employee compensation to retain workers.
collocation;control inflation (controlar la inflación);manage inflationary pressures / stabilise price levels;Central banks work to manage inflationary pressures.|Policies attempt to stabilise price levels.
collocation;attract investors (atraer inversores);draw financial investment / appeal to potential investors;Lower regulations can draw financial investment.|Strong innovation ecosystems appeal to potential investors.
collocation;reduce poverty (reducir pobreza);alleviate economic hardship / decrease financial deprivation;Well-funded programmes alleviate economic hardship.|New policies decrease financial deprivation nationwide.
collocation;increase taxes (incrementar impuestos);raise taxation levels / introduce higher fiscal charges;Governments raise taxation levels to fund welfare programmes.|Some countries introduce higher fiscal charges to reduce debt.
collocation;lower taxes (reducir impuestos);reduce taxation / decrease fiscal burdens;Some argue that governments should reduce taxation.|Lower fiscal burdens help businesses grow.
collocation;encourage spending (fomentar el gasto);stimulate consumer spending / promote economic circulation;Discounts can stimulate consumer spending.|Financial incentives promote economic circulation.
collocation;cut public spending (reducir gasto público);reduce government expenditure / implement fiscal austerity;Some administrations reduce government expenditure to control debt.|Nations implement fiscal austerity during crises.
collocation;support small businesses (apoyar pequeños negocios);assist small enterprises / strengthen local business growth;Grants assist small enterprises in difficult periods.|Local campaigns strengthen local business growth.
collocation;invest in infrastructure (invertir en infraestructura);expand national infrastructure / develop large-scale public projects;Governments expand national infrastructure to support growth.|Large-scale public projects create thousands of jobs.
